Date,Open,High,Low,Close,Volume,Daily_Return,MA50,MA200,Volatility
2009-06-23,602.3,613.05,570.55,600.85,329643,-2.7514768956866553,513.613,410.71525,3.8248495489769043
2009-06-24,605.0,623.0,602.1,612.55,180581,1.9472414080053069,518.298,410.95625,3.811510473270921
2009-06-25,619.9,632.0,608.0,611.4,198685,-0.18773977634478634,522.924,411.13375,3.8146622321045807
2009-06-26,616.0,628.5,613.8,614.95,188377,0.5806346090938996,527.229,411.2975,3.7681224272729343
2009-06-29,621.95,648.9,620.0,634.8,336765,3.2279047076998024,532.321,411.62825,3.686461312086836
2009-06-30,639.85,644.4,597.65,604.1,242428,-4.836168872085689,536.8629999999999,411.84475000000003,3.7715980717301067
2009-07-01,610.0,620.0,590.0,607.8,310028,0.6124813772554027,541.443,412.096,3.7712532171655497
2009-07-02,613.85,614.5,585.05,589.25,233388,-3.051990786442904,545.636,412.156,3.81350443919166
2009-07-03,589.0,594.6,576.35,585.85,421790,-0.5770046669495099,549.6170000000001,412.13,3.8170562504180934
2009-07-06,596.0,599.7,533.05,539.85,356627,-7.851839207988398,552.583,411.87600000000003,4.012299123134481
2009-07-07,547.0,554.75,520.0,521.05,320477,-3.4824488283782706,554.934,411.56225,4.041172503137984
2009-07-08,517.5,517.5,491.05,505.75,330707,-2.9363784665578985,557.255,411.23724999999996,4.031942439511991
2009-07-09,512.35,514.9,491.25,494.8,181173,-2.165101334651509,559.7610000000001,410.81049999999993,3.9656195159295327
2009-07-10,498.5,526.8,497.45,516.1,1052071,4.304769603880354,562.308,410.48875,3.9464552336167986
2009-07-13,510.0,515.0,499.7,506.0,189960,-1.956985080410778,564.322,410.07050000000004,3.928125664367298
2009-07-14,515.0,539.7,510.0,525.1,879923,3.7747035573122645,566.6129999999999,409.79799999999994,3.9536930376015795
2009-07-15,531.0,547.8,529.1,540.15,544062,2.8661207389068633,569.389,409.685,3.9455926771124985
2009-07-16,550.0,551.0,525.0,528.9,220870,-2.0827547903360166,571.7280000000001,409.65074999999996,3.953994857112851
2009-07-17,535.0,549.0,534.1,543.55,295697,2.76989979202118,574.335,409.67675,3.9658904814520493
2009-07-20,547.0,559.9,546.0,551.75,306467,1.5086008646858717,577.3009999999999,409.96725,3.944139690031248
2009-07-21,550.0,557.45,542.05,553.3,290547,0.2809243316719501,580.2040000000001,410.46,3.9440074349493304
2009-07-22,556.5,570.9,550.05,555.95,312195,0.4789445147298288,582.5509999999999,410.95775000000003,3.8209077002921115
2009-07-23,565.0,567.9,554.2,557.25,183295,0.23383397787570814,584.457,411.52475,3.7582976138749333
2009-07-24,565.0,566.0,555.55,558.45,163576,0.2153432032301561,586.191,412.10425,3.750592131524729
2009-07-27,562.9,564.0,548.0,559.1,159896,0.11639358939923294,586.906,412.66525,3.4288421835401413
2009-07-28,560.0,578.0,553.55,561.05,204886,0.34877481666963916,587.552,413.27075,3.4267766563446433
2009-07-29,560.0,561.1,538.05,545.85,150829,-2.7092059531235946,587.739,413.84525,3.445510879521499
2009-07-30,545.0,570.0,542.1,557.05,399389,2.0518457451680794,587.698,414.51625,3.4061022776234373
2009-07-31,574.4,614.7,561.35,601.35,1735156,7.952607485863039,588.799,415.3647500000001,3.566795695767539
2009-08-03,599.4,624.0,592.0,600.75,950404,-0.09977550511349742,588.818,416.19800000000004,3.2905098847423706
2009-08-04,604.0,618.0,595.3,600.4,587494,-0.05826050769871527,589.3009999999999,417.04074999999995,3.2400611191551203
2009-08-05,601.0,607.7,593.2,597.25,340152,-0.5246502331778813,589.452,417.96625,3.2256219193365143
2009-08-06,599.9,599.9,568.0,571.3,211844,-4.344914190037685,589.1080000000001,418.7465,3.285560628981461
2009-08-07,568.0,575.0,535.5,540.35,449286,-5.417468930509351,587.691,419.4645,3.3245343158291543
2009-08-10,552.0,568.0,541.15,561.45,406507,3.9048764689553206,585.8969999999999,420.52475000000004,3.235478615316881
2009-08-11,562.0,569.0,544.0,547.55,218133,-2.475732478404147,584.2679999999999,421.36199999999997,3.21965302958633
2009-08-12,549.9,552.0,538.5,544.55,175300,-0.5478951693909218,583.14,422.09125,3.1616998489001227
2009-08-13,550.0,562.0,547.0,553.65,266420,1.6711045817647596,581.808,422.9575,3.1356905755662474
2009-08-14,558.0,567.0,546.9,552.4,301202,-0.22577440621330824,580.323,423.717,3.1308197979318058
2009-08-17,541.65,548.0,540.0,541.95,258963,-1.8917451122374973,578.7170000000001,424.42175,3.139190180157153
2009-08-18,540.0,544.0,527.0,535.3,217178,-1.227050465910151,575.819,425.04825,2.8234374059856955
2009-08-19,538.5,556.8,528.0,530.15,438762,-0.9620773398094529,572.674,425.51899999999995,2.8160202375973498
2009-08-20,536.0,543.0,530.0,530.25,148961,0.018862586060564013,569.7829999999999,426.06899999999996,2.8100226556891874
2009-08-21,530.0,533.2,522.0,528.8,278046,-0.27345591702028216,567.047,426.6865,2.8069562301875073
2009-08-24,532.85,545.0,530.5,537.75,241532,1.6925113464447916,565.196,427.49825,2.731939719227589
